iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
30.0,0,1.3175723036130267,3.264409136772156,0.5416666607062023,0.3456666688124339,0.7246666729450225
40.0,0,1.1555779178937278,3.5750364224116002,0.5939999967813492,0.34766666690508524,0.7246666729450225
50.0,0,1.0315765281518299,3.729820601145427,0.6126666684945425,0.3483333359162013,0.7246666729450225
60.0,0,0.9579170346260071,4.224625730514527,0.6243333359559377,0.33400000085433323,0.7246666729450225
70.0,0,0.861879716316859,4.405863730112712,0.6596666673819226,0.344333333770434,0.7246666729450225
80.0,0,0.8130570034186048,4.597565881411235,0.6593333323796591,0.3426666686932246,0.7246666729450225
90.0,0,0.7455226500829059,4.772924844423929,0.705666673183441,0.3526666661103567,0.7246666729450225
100.0,0,0.7084773590167361,5.172460460662841,0.7056666672229764,0.34366666773955024,0.7246666729450225
110.0,0,0.6530562738577526,5.193800115585328,0.7450000027815501,0.35166666805744173,0.7246666729450225
120.0,0,0.6604265888532002,5.169187418619791,0.7123333374659221,0.35099999904632573,0.7246666729450225
130.0,0,0.6144703894853591,5.3194085756937675,0.7513333320617674,0.35633333424727126,0.7246666729450225
140.0,0,0.5922951141993205,5.6201524098714195,0.7553333322207133,0.3523333330949148,0.7246666729450225
150.0,0,0.5855302572250367,5.832778215408327,0.7516666710376738,0.3503333340088526,0.7246666729450225
160.0,0,0.5627109666665394,5.942991908391317,0.7623333275318146,0.3539999971787136,0.7246666729450225
170.0,0,0.553022097547849,6.083936262130738,0.7666666666666667,0.35100000103314716,0.7246666729450225
180.0,0,0.5363329668839771,6.237156836191813,0.7780000030994415,0.3543333341677984,0.7246666729450225
190.0,0,0.5231008897225061,6.421490303675336,0.78400000333786,0.3566666672627131,0.7246666729450225
200.0,0,0.5106766492128373,6.384958044687906,0.7993333339691161,0.3599999994039536,0.7246666729450225
210.0,0,0.5010618021090825,6.4187436739603685,0.8010000030199687,0.3613333314657213,0.7246666729450225
220.0,0,0.5099670847256977,6.128073215484619,0.7963333368301392,0.35666666626930243,0.7246666729450225
230.0,0,0.5166279385487238,6.463960886001588,0.782666669289271,0.3533333321412406,0.7246666729450225
